8556, 25, 25, 679, 650
8581, 25, 25, 761, 650
8606, -25, 25, 872, 650
8632, -25, 25, 887, 646
8658, -25, 25, 886, 653
8684, -25, 25, 884, 643
8710, -25, 25, 866, 636
8736, 25, 25, 751, 639
8761, 25, 25, 672, 633
8786, 25, 25, 696, 635
8811, -25, 25, 810, 652
8837, -25, 25, 882, 638
8863, -25, 25, 891, 609
8889, -25, 25, 889, 619
8915, -25, 25, 873, 631
8941, 25, 25, 778, 645
8966, 25, 25, 703, 656
8991, 25, 25, 714, 665
9016, -25, 25, 837, 658
9041, -25, 25, 887, 637
9068, -25, 25, 890, 636
9094, -25, 25, 886, 634
9120, -25, 25, 873, 625
9146, 25, 25, 744, 648
9170, 25, 25, 678, 636
9196, 25, 25, 696, 669
9221, 25, 25, 775, 638
9245, -25, 25, 882, 642
9272, -25, 25, 890, 659
9297, -25, 25, 893, 676
9324, -25, 25, 891, 660
9350, -25, 25, 888, 649
9375, -25, 25, 881, 655
9402, -25, 25, 806, 641
9427, 25, 25, 761, 639
9453, 25, 25, 719, 637
9478, 25, 25, 739, 655
9502, -25, 25, 817, 651
9529, -25, 25, 889, 670
9554, -25, 25, 899, 663
9580, -25, 25, 876, 658
9607, 25, 25, 765, 653
9631, 25, 25, 693, 634
9657, 25, 25, 696, 628
9681, 25, 25, 770, 658
9706, -25, 25, 881, 678
9733, -25, 25, 893, 691
9758, -25, 25, 891, 677
9785, -25, 25, 872, 666
9810, 25, 25, 732, 661
9835, 25, 25, 653, 643
9861, 25, 25, 664, 633
9885, 25, 25, 718, 630
9910, -25, 25, 843, 656
9936, -25, 25, 887, 642
9962, -25, 25, 889, 649
9989, -25, 25, 886, 634
10014, 25, 25, 795, 646
10040, 25, 25, 686, 645
10066, 25, 25, 687, 636
10092, 25, 25, 779, 644
10119, -25, 25, 883, 658
10145, -25, 25, 896, 659
10172, -25, 25, 895, 632
10200, -25, 25, 880, 639
10226, -25, 25, 835, 656
10254, 25, 25, 676, 633
10279, 25, 25, 602, 635
10305, 25, 25, 639, 639
10332, 25, 25, 683, 642
10357, 25, 25, 797, 641
10384, -25, 25, 875, 646
10411, -25, 25, 884, 656
10437, -25, 25, 883, 665
10465, -25, 25, 879, 659
10491, -25, 25, 832, 666
10519, 25, 25, 709, 668
10545, 25, 25, 626, 661
10570, 25, 25, 576, 654
10597, 25, 25, 605, 623
10622, 25, 25, 683, 599
10649, 25, 25, 762, 615
10675, -25, 25, 865, 622
10701, -25, 25, 881, 619
10729, -25, 25, 880, 634
10756, -25, 25, 883, 634
10783, -25, 25, 848, 638
10810, 25, 25, 747, 622
10835, 25, 25, 695, 597
10862, 25, 25, 692, 572
10888, 25, 25, 738, 605
10914, -25, 25, 831, 650
